N_protocolo,Data_hora_agendamento,Unidade_id_unidade,Paciente_cpf
PROTOCOLO0,2024-11-20 20:29:01.772311,U29,84910698001
PROTOCOLO1,2024-11-24 19:29:01.772329,U87,56473926294
PROTOCOLO2,2024-11-29 16:29:01.772338,U98,91275852452
PROTOCOLO3,2024-11-18 16:29:01.772347,U27,30994041381
PROTOCOLO4,2024-11-26 02:29:01.772357,U87,30994041381
PROTOCOLO5,2024-11-19 23:29:01.772366,U29,10215449281
PROTOCOLO6,2024-11-23 12:29:01.772375,U21,60673666922
PROTOCOLO7,2024-11-29 14:29:01.772383,U85,78391896419
PROTOCOLO8,2024-11-25 02:29:01.772391,U48,88347896039
PROTOCOLO9,2024-12-02 18:29:01.772399,U60,28351181507
PROTOCOLO10,2024-11-07 12:29:01.772407,U10,88539970074
PROTOCOLO11,2024-11-29 17:29:01.772414,U83,89610119627
PROTOCOLO12,2024-11-24 15:29:01.772427,U63,38845768377
PROTOCOLO13,2024-11-30 09:29:01.772437,U16,71920793686
PROTOCOLO14,2024-12-03 04:29:01.772444,U41,84796272783
PROTOCOLO15,2024-11-09 22:29:01.772453,U4,64304112384
PROTOCOLO16,2024-11-17 22:29:01.772461,U26,27738147939
PROTOCOLO17,2024-11-05 04:29:01.772469,U93,89319478387
PROTOCOLO18,2024-11-21 09:29:01.772477,U34,64304112384
PROTOCOLO19,2024-11-24 23:29:01.772485,U8,64304112384
PROTOCOLO20,2024-11-25 23:29:01.772492,U15,26015685077
PROTOCOLO21,2024-12-01 14:29:01.772500,U74,72780678087
PROTOCOLO22,2024-11-11 12:29:01.772511,U87,90029203521
PROTOCOLO23,2024-11-25 06:29:01.772519,U66,84796272783
PROTOCOLO24,2024-11-24 19:29:01.772526,U21,28351181507
PROTOCOLO25,2024-11-26 09:29:01.772534,U85,96143304893
PROTOCOLO26,2024-11-06 02:29:01.772542,U53,86801533361
PROTOCOLO27,2024-11-12 11:29:01.772550,U22,82748340351
PROTOCOLO28,2024-11-16 08:29:01.772558,U31,45590587860
PROTOCOLO29,2024-11-13 11:29:01.772565,U59,88539970074
PROTOCOLO30,2024-11-12 14:29:01.772572,U94,46044851102
PROTOCOLO31,2024-11-14 20:29:01.772579,U95,94884639167
PROTOCOLO32,2024-11-30 00:29:01.772586,U18,38990512841
PROTOCOLO33,2024-12-02 11:29:01.772684,U68,66550433939
PROTOCOLO34,2024-11-21 21:29:01.772733,U83,36844180319
PROTOCOLO35,2024-11-15 22:29:01.772743,U1,11744225504
PROTOCOLO36,2024-11-26 18:29:01.772752,U9,94884639167
PROTOCOLO37,2024-11-29 06:29:01.772760,U92,84910698001
PROTOCOLO38,2024-11-28 18:29:01.772768,U51,96143304893
PROTOCOLO39,2024-11-18 16:29:01.772777,U18,91275852452
PROTOCOLO40,2024-11-27 10:29:01.772785,U57,63882685543
PROTOCOLO41,2024-11-22 12:29:01.772793,U52,71920793686
PROTOCOLO42,2024-11-07 06:29:01.772821,U78,89649984352
PROTOCOLO43,2024-11-20 11:29:01.772838,U48,17234622729
PROTOCOLO44,2024-11-08 14:29:01.772846,U84,45590587860
PROTOCOLO45,2024-12-02 18:29:01.772859,U78,10215449281
PROTOCOLO46,2024-11-11 21:29:01.772867,U93,37570436145
PROTOCOLO47,2024-11-12 08:29:01.772876,U33,32182296469
PROTOCOLO48,2024-11-23 12:29:01.772885,U11,84796272783
PROTOCOLO49,2024-11-25 04:29:01.772893,U61,86998327918
PROTOCOLO50,2024-11-27 22:29:01.772901,U87,17234622729
PROTOCOLO51,2024-11-19 19:29:01.772908,U21,85897009268
PROTOCOLO52,2024-11-28 02:29:01.772915,U16,89319478387
PROTOCOLO53,2024-11-05 21:29:01.772924,U83,90308455312
PROTOCOLO54,2024-11-10 09:29:01.772931,U94,89649984352
PROTOCOLO55,2024-11-16 14:29:01.772939,U18,78391896419
PROTOCOLO56,2024-11-13 17:29:01.772946,U98,47668463220
PROTOCOLO57,2024-11-15 06:29:01.772954,U38,85897009268
PROTOCOLO58,2024-11-15 02:29:01.772966,U42,97351439370
PROTOCOLO59,2024-11-05 18:29:01.772974,U82,58887538196
PROTOCOLO60,2024-11-08 18:29:01.772982,U36,63882685543
PROTOCOLO61,2024-12-02 07:29:01.772990,U26,85897009268
PROTOCOLO62,2024-11-29 12:29:01.772999,U93,12121005863
PROTOCOLO63,2024-11-10 17:29:01.773007,U75,54765398441
PROTOCOLO64,2024-12-01 15:29:01.773014,U38,80398346125
PROTOCOLO65,2024-11-23 20:29:01.773023,U8,91275852452
PROTOCOLO66,2024-11-29 21:29:01.773032,U27,66550433939
PROTOCOLO67,2024-11-08 05:29:01.773045,U45,86732059661
PROTOCOLO68,2024-11-07 20:29:01.773056,U88,76539290053
